stem,image_path,label_path,num_boxes,avg_confidence,IoU,Precision,Recall,F1,TP,FP,FN,num_pred_boxes,num_gt_boxes
rgb_1036,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1036.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1036.txt,1,0.5969666838645935,0.9500027969679392,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_1064,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1064.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1064.txt,2,0.3570623993873596,0.9398548320104055,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_1084,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1084.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1084.txt,0,0.0,0.0,0.0,0.0,0.0,,,,0,1
rgb_1110,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1110.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1110.txt,1,0.4893615245819092,0.9015274415995432,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_1131,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1131.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1131.txt,1,0.4528012275695801,0.946808003026135,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_11434,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_11434.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_11434.txt,2,0.38994672894477844,0.9519200267296881,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,2,1
rgb_1154,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1154.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1154.txt,1,0.6170241236686707,0.9390993909112365,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_1185,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1185.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1185.txt,1,0.671080470085144,0.8873757662527657,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_1252,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_1252.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_1252.txt,1,0.439556747674942,0.9682742146110961,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_13601,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_13601.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_13601.txt,1,0.6552221775054932,0.9348456137109689,1.0,1.0,1.0,1.0,0.0,0.0,1,1
